Name,Category Main,Category Sub,Price,Unit,Image URL,Local Image,URL,Error
Chân giò heo nhập khẩu 300g giá tốt tại Bách hoá XANH,,Thịt heo,13500,300g,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8781/226838/bhx/chan-gio-heo-tui-500g_202511031521052260.jpg,assets\bhx-images\chan-gio-heo-nhap-khau-300g-gia-tot-tai-bach-hoa-xanh.jpg,https://www.bachhoaxanh.com/thit-heo/chan-gio-heo-tui-500g,
Chân giò heo nhập khẩu giá tốt tại Bách hoá XANH,,Thịt heo,29400,,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8781/233758/bhx/chan-gio-heo-nhap-khau-1kg_202511031508014310.jpg,assets\bhx-images\chan-gio-heo-nhap-khau-gia-tot-tai-bach-hoa-xanh.jpg,https://www.bachhoaxanh.com/thit-heo/chan-gio-heo-nhap-khau-1kg,
Xương que nhập khẩu đông lạnh 500g giá tốt tại Bách hoá XANH,,Thịt heo,29900,500g,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8781/249017/bhx/xuong-que-heo-nhap-khau-dong-lanh-tui-500g_202511031521551395.jpg,assets\bhx-images\xuong-que-nhap-khau-dong-lanh-500g-gia-tot-tai-bach-hoa-xanh.jpg,https://www.bachhoaxanh.com/thit-heo/xuong-que-heo-nhap-khau-dong-lanh-tui-500g,
Sườn non heo nhập khẩu Brazil 300g tại Bách hoá XANH,,Thịt heo,48000,300g,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8781/341819/bhx/suon-non-heo-brazil-3kg_202511031509329284.jpg,assets\bhx-images\suon-non-heo-nhap-khau-brazil-300g-tai-bach-hoa-xanh.jpg,https://www.bachhoaxanh.com/thit-heo/suon-non-heo-brazil-3kg,
Sườn cốt lết heo làm sạch 500g giá tốt tại Bách hoá XANH,,Thịt heo,64000,500g,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8781/226943/bhx/suon-cot-let-tui-500g_202511041611101668.jpg,assets\bhx-images\suon-cot-let-heo-lam-sach-500g-gia-tot-tai-bach-hoa-xanh.jpg,https://www.bachhoaxanh.com/thit-heo/suon-cot-let-tui-500g,
Sườn cốt lết C.P giá tốt tại Bách hoá XANH,,Thịt heo,38400,,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8781/226937/bhx/suon-cot-let-1kg_202511041611031577.jpg,assets\bhx-images\suon-cot-let-c-p-gia-tot-tai-bach-hoa-xanh.jpg,https://www.bachhoaxanh.com/thit-heo/suon-cot-let-1kg,
Ba rọi heo giá tốt tại Bách hoá XANH,,Thịt heo,50700,,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8781/226834/bhx/ba-roi-heo-1kg_202510221038422310.jpg,assets\bhx-images\ba-roi-heo-gia-tot-tai-bach-hoa-xanh.jpg,https://www.bachhoaxanh.com/thit-heo/ba-roi-heo-1kg,
Ba rọi heo giá tốt tại Bách hoá XANH,,Thịt heo,51000,,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8781/342025/bhx/ba-roi-heo_202510301701027235.jpg,assets\bhx-images\ba-roi-heo-gia-tot-tai-bach-hoa-xanh.jpg,https://www.bachhoaxanh.com/thit-heo/ba-roi-heo,
Ba rọi rút sườn heo nhập khẩu tại Bách hoá XANH,,Thịt heo,43500,,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8781/275804/bhx/ba-roi-heo-nhap-khau_202511031507017089.jpg,assets\bhx-images\ba-roi-rut-suon-heo-nhap-khau-tai-bach-hoa-xanh.jpg,https://www.bachhoaxanh.com/thit-heo/ba-roi-heo-nhap-khau,
Thịt heo xay CP 100g tại Bách hoá XANH,,Thịt heo,12500,100g,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8781/333450/bhx/thit-heo-xay-cp-100g_202511041615391940.jpg,assets\bhx-images\thit-heo-xay-cp-100g-tai-bach-hoa-xanh.jpg,https://www.bachhoaxanh.com/thit-heo/thit-heo-xay-cp-100g,
