name,category_main,category_sub,price_text,price_value,old_price_text,old_price_value,unit,discount_percent,sku_or_code,product_url,image_url,local_image_path,description,source,error_note
"Chân giò heo nhập khẩu Đức 300g","Thịt, cá, trứng, hải sản","Thịt heo","13.500₫","13500","","","300g","","","https://www.bachhoaxanh.com/thit-heo/chan-gio-heo-tui-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8781/226838/bhx/chan-gio-heo-tui-500g_202511031521052260.jpg","assets\bhx-images\chan-gio-heo-nhap-khau-duc-300g.jpg","","bachhoaxanh.com",""
"Chân giò heo nhập khẩu Đức","Thịt, cá, trứng, hải sản","Thịt heo","29.400₫","29400","","","","","","https://www.bachhoaxanh.com/thit-heo/chan-gio-heo-nhap-khau-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8781/233758/bhx/chan-gio-heo-nhap-khau-1kg_202511031508014310.jpg","assets\bhx-images\chan-gio-heo-nhap-khau-duc.jpg","","bachhoaxanh.com",""
"Sườn que heo nhập khẩu 500g","Thịt, cá, trứng, hải sản","Thịt heo","29.900₫","29900","","","500g","","","https://www.bachhoaxanh.com/thit-heo/xuong-que-heo-nhap-khau-dong-lanh-tui-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8781/249017/bhx/xuong-que-heo-nhap-khau-dong-lanh-tui-500g_202511031521551395.jpg","assets\bhx-images\suon-que-heo-nhap-khau-500g.jpg","","bachhoaxanh.com",""
"Sườn cốt lết C.P 500g","Thịt, cá, trứng, hải sản","Thịt heo","64.000₫","64000","","","500g","","","https://www.bachhoaxanh.com/thit-heo/suon-cot-let-tui-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8781/226943/bhx/suon-cot-let-tui-500g_202511041611101668.jpg","assets\bhx-images\suon-cot-let-c-p-500g.jpg","","bachhoaxanh.com",""
"Sườn cốt lết C.P","Thịt, cá, trứng, hải sản","Thịt heo","38.400₫","38400","","","","","","https://www.bachhoaxanh.com/thit-heo/suon-cot-let-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8781/226937/bhx/suon-cot-let-1kg_202511041611031577.jpg","assets\bhx-images\suon-cot-let-c-p.jpg","","bachhoaxanh.com",""
"Chân giò heo C.P 300g","Thịt, cá, trứng, hải sản","Thịt heo","34.500₫","34500","","","300g","","","https://www.bachhoaxanh.com/thit-heo/chan-gio-heo-cp-300g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8781/344660/bhx/chan-gio-heo-cp-300g_202511031616579971.jpg","assets\bhx-images\chan-gio-heo-c-p-300g.jpg","","bachhoaxanh.com",""
"Ba rọi heo C.P","Thịt, cá, trứng, hải sản","Thịt heo","50.700₫","50700","","","","","","https://www.bachhoaxanh.com/thit-heo/ba-roi-heo-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8781/226834/bhx/ba-roi-heo-1kg_202510221038422310.jpg","assets\bhx-images\ba-roi-heo-c-p.jpg","","bachhoaxanh.com",""
"Ba rọi heo C.P 300gr","Thịt, cá, trứng, hải sản","Thịt heo","51.000₫","51000","","","300g","","","https://www.bachhoaxanh.com/thit-heo/ba-roi-heo","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8781/342025/bhx/ba-roi-heo_202510301701027235.jpg","assets\bhx-images\ba-roi-heo-c-p-300gr.jpg","","bachhoaxanh.com",""
"Ba rọi rút sườn heo nhập khẩu Nga","Thịt, cá, trứng, hải sản","Thịt heo","43.500₫","43500","","","","","","https://www.bachhoaxanh.com/thit-heo/ba-roi-heo-nhap-khau","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8781/275804/bhx/ba-roi-heo-nhap-khau_202511031507017089.jpg","assets\bhx-images\ba-roi-rut-suon-heo-nhap-khau-nga.jpg","","bachhoaxanh.com",""
"Ba rọi rút sườn heo nhập khẩu Nga 300g","Thịt, cá, trứng, hải sản","Thịt heo","40.455₫","40455","","","300g","","","https://www.bachhoaxanh.com/thit-heo/ba-roi-heo-nhap-khau-nga-300g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8781/341632/bhx/ba-roi-heo-nhap-khau-nga-300g_202511031509559999.jpg","assets\bhx-images\ba-roi-rut-suon-heo-nhap-khau-nga-300g.jpg","","bachhoaxanh.com",""
"Thịt heo xay C.P 100g","Thịt, cá, trứng, hải sản","Thịt heo","12.500₫","12500","","","100g","","","https://www.bachhoaxanh.com/thit-heo/thit-heo-xay-cp-100g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8781/333450/bhx/thit-heo-xay-cp-100g_202511041615391940.jpg","assets\bhx-images\thit-heo-xay-c-p-100g.jpg","","bachhoaxanh.com",""
"Thịt heo xay C.P 200g","Thịt, cá, trứng, hải sản","Thịt heo","25.000₫","25000","","","200g","","","https://www.bachhoaxanh.com/thit-heo/thit-heo-xay-cp-khay-200g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8781/283165/bhx/thit-heo-xay-cp-khay-200g_202511041615328979.jpg","assets\bhx-images\thit-heo-xay-c-p-200g.jpg","","bachhoaxanh.com",""
"Thịt đùi heo C.P","Thịt, cá, trứng, hải sản","Thịt heo","47.200₫","47200","","","","","","https://www.bachhoaxanh.com/thit-heo/thit-dui-heo-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8781/226865/bhx/thit-dui-heo-1kg_202511041612182225.jpg","assets\bhx-images\thit-dui-heo-c-p.jpg","","bachhoaxanh.com",""
"Thịt đùi heo C.P khay 300g","Thịt, cá, trứng, hải sản","Thịt heo","28.000₫","28000","","","300g","","","https://www.bachhoaxanh.com/thit-heo/thit-dui-heo-300g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8781/332800/bhx/thit-dui-heo-300g_202512021317567059.jpg","assets\bhx-images\thit-dui-heo-c-p-khay-300g.jpg","","bachhoaxanh.com",""
"Thịt nạc heo C.P 300g","Thịt, cá, trứng, hải sản","Thịt heo","34.400₫","34400","","","300g","","","https://www.bachhoaxanh.com/thit-heo/thit-nac-heo-300g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8781/332827/bhx/thit-nac-heo-300g_202511041613173494.jpg","assets\bhx-images\thit-nac-heo-c-p-300g.jpg","","bachhoaxanh.com",""
"Thịt nạc heo C.P","Thịt, cá, trứng, hải sản","Thịt heo","42.600₫","42600","","","","","","https://www.bachhoaxanh.com/thit-heo/nac-dam-heo-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8781/226842/bhx/nac-dam-heo-1kg_202511071045083031.jpg","assets\bhx-images\thit-nac-heo-c-p.jpg","","bachhoaxanh.com",""
